address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id
3811 Picasso Ct,Charlotte,NC,28205,"$319,000",2,2,940,35.24804,-80.79697,Coming soon,https://www.zillow.com/homedetails/3811-Picasso-Ct-Charlotte-NC-28205/80470286_zpid/,06-23-2022_21:45:40,80470286
1922 Beverly Dr,Charlotte,NC,28207,"$1,595,000",3,3,"2,812",35.188007,-80.82863,House for sale,https://www.zillow.com/homedetails/1922-Beverly-Dr-Charlotte-NC-28207/6245877_zpid/,06-23-2022_21:45:40,6245877
4310 Raney Way,Charlotte,NC,28205,"$899,000",4,3,"2,139",35.198345,-80.78059,House for sale,https://www.zillow.com/homedetails/4310-Raney-Way-Charlotte-NC-28205/6250065_zpid/,06-23-2022_21:45:40,6250065
4326 Tillman Rd,Charlotte,NC,28208,"$199,000",3,1,988,35.259785,-80.89037,House for sale,https://www.zillow.com/homedetails/4326-Tillman-Rd-Charlotte-NC-28208/6175391_zpid/,06-23-2022_21:45:40,6175391
12926 Rothe House Rd,Charlotte,NC,28273,"$450,000",4,3,"2,517",35.092316,-80.98812,Coming soon,https://www.zillow.com/homedetails/12926-Rothe-House-Rd-Charlotte-NC-28273/80452968_zpid/,06-23-2022_21:45:40,80452968
13461 Calloway Glen Dr,Charlotte,NC,28273,"$265,000",2,3,"1,378",35.105705,-80.97781,Townhouse for sale,https://www.zillow.com/homedetails/13461-Calloway-Glen-Dr-Charlotte-NC-28273/65039628_zpid/,06-23-2022_21:45:40,65039628
162 Mellwood Dr,Charlotte,NC,28214,"$220,000",3,2,"1,355",35.299606,-80.93832,House for sale,https://www.zillow.com/homedetails/162-Mellwood-Dr-Charlotte-NC-28214/6149034_zpid/,06-23-2022_21:45:40,6149034
8905 Tendring Ct,Charlotte,NC,28215,"$349,000",3,3,"1,675",35.250465,-80.670494,Coming soon,https://www.zillow.com/homedetails/8905-Tendring-Ct-Charlotte-NC-28215/6217119_zpid/,06-23-2022_21:45:40,6217119
10623 Kempsford Dr,Charlotte,NC,28262,"$415,000",4,3,"2,935",35.329487,-80.706055,House for sale,https://www.zillow.com/homedetails/10623-Kempsford-Dr-Charlotte-NC-28262/83954062_zpid/,06-23-2022_21:45:40,83954062
4305 Duplin Dr,Charlotte,NC,28214,"$477,890",3,2,"1,835",35.231968,-81.00046,New construction,https://www.zillow.com/homedetails/4305-Duplin-Dr-Charlotte-NC-28214/2062713827_zpid/,06-23-2022_21:45:40,2062713827
4301 Duplin Dr,Charlotte,NC,28214,"$485,890",3,2,"1,835",35.231968,-81.00046,New construction,https://www.zillow.com/homedetails/4301-Duplin-Dr-Charlotte-NC-28214/2062713829_zpid/,06-23-2022_21:45:40,2062713829
4304 Duplin Dr,Charlotte,NC,28214,"$467,335",3,2,"1,648",35.231968,-81.00046,New construction,https://www.zillow.com/homedetails/4304-Duplin-Dr-Charlotte-NC-28214/2062713830_zpid/,06-23-2022_21:45:40,2062713830
2834 Clemson Ave,Charlotte,NC,28205,"$724,900",4,3,"2,561",35.239773,-80.80254,Coming soon,https://www.zillow.com/homedetails/2834-Clemson-Ave-Charlotte-NC-28205/6189019_zpid/,06-23-2022_21:45:40,6189019
4308 Duplin Dr,Charlotte,NC,28214,"$513,040",4,3,"2,208",35.231968,-81.00046,New construction,https://www.zillow.com/homedetails/4308-Duplin-Dr-Charlotte-NC-28214/2062713835_zpid/,06-23-2022_21:45:40,2062713835
4921 Patricia Ann Ln #108,Charlotte,NC,28269,"$417,000",3,3,"2,374",35.314243,-80.81522,House for sale,https://www.zillow.com/homedetails/4921-Patricia-Ann-Ln-108-Charlotte-NC-28269/2062661913_zpid/,06-23-2022_21:45:40,2062661913
4317 Duplin Dr,Charlotte,NC,28214,"$506,040",4,3,"2,208",35.22318,-81.001785,New construction,https://www.zillow.com/homedetails/4317-Duplin-Dr-Charlotte-NC-28214/2062661915_zpid/,06-23-2022_21:45:40,2062661915
10325 Haddington Dr NW,Charlotte,NC,28269,"$395,000",3,3,"1,832",35.39493,-80.75121,House for sale,https://www.zillow.com/homedetails/10325-Haddington-Dr-NW-Charlotte-NC-28269/61653039_zpid/,06-23-2022_21:45:40,61653039
9319 Deer Spring Ln,Charlotte,NC,28210,"$750,000",4,4,"2,841",35.10319,-80.8563,House for sale,https://www.zillow.com/homedetails/9319-Deer-Spring-Ln-Charlotte-NC-28210/6293584_zpid/,06-23-2022_21:45:40,6293584
1914 Dembrigh Ln,Charlotte,NC,28262,"$395,000",4,3,"2,064",35.31799,-80.70735,Coming soon,https://www.zillow.com/homedetails/1914-Dembrigh-Ln-Charlotte-NC-28262/6165455_zpid/,06-23-2022_21:45:40,6165455
2801 Flintridge Dr,Charlotte,NC,28212,"$310,000",3,2,"1,134",35.183804,-80.74319,House for sale,https://www.zillow.com/homedetails/2801-Flintridge-Dr-Charlotte-NC-28212/6251678_zpid/,06-23-2022_21:45:40,6251678
3754 Speer Blvd,Charlotte,NC,28217,"$439,000",3,3,"2,370",35.18379,-80.910126,Townhouse for sale,https://www.zillow.com/homedetails/3754-Speer-Blvd-Charlotte-NC-28217/300207496_zpid/,06-23-2022_21:45:40,300207496
11700 Laurel Grove Ln,Charlotte,NC,28226,"$399,000",3,2,"1,517",35.077217,-80.843796,House for sale,https://www.zillow.com/homedetails/11700-Laurel-Grove-Ln-Charlotte-NC-28226/6310799_zpid/,06-23-2022_21:45:40,6310799
4810 Rounding Run Rd,Charlotte,NC,28277,"$850,000",4,5,"3,775",35.083473,-80.79201,House for sale,https://www.zillow.com/homedetails/4810-Rounding-Run-Rd-Charlotte-NC-28277/6317835_zpid/,06-23-2022_21:45:40,6317835
7227 Bedfordshire Dr,Charlotte,NC,28226,"$649,900",5,3,"2,747",35.112625,-80.79372,Coming soon,https://www.zillow.com/homedetails/7227-Bedfordshire-Dr-Charlotte-NC-28226/6294781_zpid/,06-23-2022_21:45:40,6294781
6620 Glenmoor Dr,Charlotte,NC,28214,"$295,000",4,2,"1,816",35.267277,-80.94305,House for sale,https://www.zillow.com/homedetails/6620-Glenmoor-Dr-Charlotte-NC-28214/6169466_zpid/,06-23-2022_21:45:40,6169466
6934 Loretta Pl,Charlotte,NC,28215,"$400,000",3,3,"2,370",35.23482,-80.71438,House for sale,https://www.zillow.com/homedetails/6934-Loretta-Pl-Charlotte-NC-28215/6209307_zpid/,06-23-2022_21:45:40,6209307
4409 Ivanhoe Pl,Charlotte,NC,28205,"$375,000",3,2,"1,320",35.22465,-80.75139,Coming soon,https://www.zillow.com/homedetails/4409-Ivanhoe-Pl-Charlotte-NC-28205/6201479_zpid/,06-23-2022_21:45:40,6201479
1615 Loropetalum Rd #147,Charlotte,NC,28215,"$399,000",4,3,"2,282",,,House for sale,https://www.zillow.com/homedetails/1615-Loropetalum-Rd-147-Charlotte-NC-28215/2074686898_zpid/,06-23-2022_21:45:40,2074686898
6343 Mallard View Ln,Charlotte,NC,28269,"$220,000",2,3,"1,218",35.302845,-80.80064,Condo for sale,https://www.zillow.com/homedetails/6343-Mallard-View-Ln-Charlotte-NC-28269/6158826_zpid/,06-23-2022_21:45:40,6158826
9905 Wild Dogwood Ct,Charlotte,NC,28273,"$489,500",4,3,"2,118",35.156395,-80.97311,Coming soon,https://www.zillow.com/homedetails/9905-Wild-Dogwood-Ct-Charlotte-NC-28273/54496599_zpid/,06-23-2022_21:45:40,54496599
417 Woodvale Pl,Charlotte,NC,28208,"$520,000",4,2,"1,803",35.237328,-80.86421,House for sale,https://www.zillow.com/homedetails/417-Woodvale-Pl-Charlotte-NC-28208/6181263_zpid/,06-23-2022_21:45:40,6181263
11008 Hunters Trce,Charlotte,NC,28262,"$358,000",3,2,"1,769",35.325542,-80.69347,Coming soon,https://www.zillow.com/homedetails/11008-Hunters-Trce-Charlotte-NC-28262/6165378_zpid/,06-23-2022_21:45:40,6165378
Elm Plan,,,,"$429,990",4,3,"2,203",35.258152,-80.68725,New construction,https://www.zillow.com/community/creekside-grove/2062990921_zpid/,06-23-2022_21:45:40,2062990921
405 W 7th St APT 508,Charlotte,NC,28202,"$385,000",2,2,"1,158",35.232033,-80.84359,Coming soon,https://www.zillow.com/homedetails/405-W-7th-St-APT-508-Charlotte-NC-28202/54492684_zpid/,06-23-2022_21:45:40,54492684
9006 Douglas Dr,Charlotte,NC,28217,"$445,000",3,3,"1,773",35.18089,-80.95552,House for sale,https://www.zillow.com/homedetails/9006-Douglas-Dr-Charlotte-NC-28217/6237598_zpid/,06-23-2022_21:45:40,6237598
3329 Lochway Ln,Charlotte,NC,28269,"$200,000",3,1,"1,013",35.28231,-80.81992,Coming soon,https://www.zillow.com/homedetails/3329-Lochway-Ln-Charlotte-NC-28269/6160385_zpid/,06-23-2022_21:45:40,6160385
7041 Somerford Rd #23A,Charlotte,NC,28215,"$301,483",3,3,"1,551",35.226673,-80.682976,New construction,https://www.zillow.com/homedetails/7041-Somerford-Rd-23A-Charlotte-NC-28215/2062676046_zpid/,06-23-2022_21:45:40,2062676046
0 Wilkinson Blvd,Charlotte,NC,28208,"$249,900",,,,,,Lot / Land for sale,https://www.zillow.com/homedetails/0-Wilkinson-Blvd-Charlotte-NC-28208/2076792666_zpid/,06-23-2022_21:45:40,2076792666
613 Chicago Ave,Charlotte,NC,28203,"$169,999",,,"5,619",35.20572,-80.87455,Lot / Land for sale,https://www.zillow.com/homedetails/613-Chicago-Ave-Charlotte-NC-28203/54494799_zpid/,06-23-2022_21:45:40,54494799
7049 Somerford Rd #23C,Charlotte,NC,28215,"$294,815",3,3,"1,551",35.22663,-80.68303,New construction,https://www.zillow.com/homedetails/7049-Somerford-Rd-23C-Charlotte-NC-28215/2062676056_zpid/,06-23-2022_21:45:40,2062676056
10516 Shopton Rd W,Charlotte,NC,28278,"$699,000",4,3,"2,896",35.15678,-80.9848,Coming soon,https://www.zillow.com/homedetails/10516-Shopton-Rd-W-Charlotte-NC-28278/6282316_zpid/,06-23-2022_21:45:40,6282316
7012 Lenton Rd,Charlotte,NC,28215,"$465,000",3,3,--,35.23556,-80.6731,New construction,https://www.zillow.com/homedetails/7012-Lenton-Rd-Charlotte-NC-28215/2062746832_zpid/,06-23-2022_21:45:40,2062746832
Amber Plan,,,,"$330,990",3,3,"1,601",35.299305,-80.91899,New construction,https://www.zillow.com/community/belterra-townes/2063004298_zpid/,06-23-2022_21:45:40,2063004298
323 Dover Ave,Charlotte,NC,28209,"$1,795,000",5,4,"4,015",35.194088,-80.867966,Coming soon,https://www.zillow.com/homedetails/323-Dover-Ave-Charlotte-NC-28209/6240432_zpid/,06-23-2022_21:45:40,6240432
10217 Caldwell Forest Dr,Charlotte,NC,28213,"$375,000",3,3,"1,788",35.29819,-80.688225,Coming soon,https://www.zillow.com/homedetails/10217-Caldwell-Forest-Dr-Charlotte-NC-28213/65022687_zpid/,06-23-2022_21:45:40,65022687
5819 Hunting Ridge Ln E,Charlotte,NC,28212,"$130,000",1,1,686,35.185085,-80.75069,Condo for sale,https://www.zillow.com/homedetails/5819-Hunting-Ridge-Ln-E-Charlotte-NC-28212/2077098848_zpid/,06-23-2022_21:45:40,2077098848
11023 Hunter Trail Ln,Charlotte,NC,28226,"$315,000",4,3,"1,810",35.08605,-80.868484,Coming soon,https://www.zillow.com/homedetails/11023-Hunter-Trail-Ln-Charlotte-NC-28226/6309651_zpid/,06-23-2022_21:45:40,6309651
6219 Paw Village Rd,Charlotte,NC,28214,"$445,995",5,3,"2,440",35.25698,-80.95991,Coming soon,https://www.zillow.com/homedetails/6219-Paw-Village-Rd-Charlotte-NC-28214/239885052_zpid/,06-23-2022_21:45:40,239885052
5413 Tumbling Brook Ln,Charlotte,NC,28216,"$355,000",3,3,"1,925",35.322876,-80.85142,Coming soon,https://www.zillow.com/homedetails/5413-Tumbling-Brook-Ln-Charlotte-NC-28216/295009979_zpid/,06-23-2022_21:45:40,295009979
8732 Coach Wood Ct,Charlotte,NC,28216,"$350,000",3,2,"1,638",35.342403,-80.89544,Coming soon,https://www.zillow.com/homedetails/8732-Coach-Wood-Ct-Charlotte-NC-28216/6152100_zpid/,06-23-2022_21:45:40,6152100
Available Soon Plan,,,,$0,-,-,--,35.256203,-80.701866,New construction,https://www.zillow.com/community/orchard-creek/2063219348_zpid/,06-23-2022_21:45:40,2063219348
4049 Lamington Rd,Matthews,NC,28105,"$624,900",4,3,"2,667",35.062878,-80.75041,Coming soon,https://www.zillow.com/homedetails/4049-Lamington-Rd-Matthews-NC-28105/6330400_zpid/,06-23-2022_21:45:40,6330400
11009 Pound Hill Ln,Charlotte,NC,28277,"$1,200,000",4,4,"4,463",35.041695,-80.84303,House for sale,https://www.zillow.com/homedetails/11009-Pound-Hill-Ln-Charlotte-NC-28277/54499100_zpid/,06-23-2022_21:45:40,54499100
Plan 5 Plan,,,,"$934,990",4,4,"3,005",35.103046,-80.8346,New construction,https://www.zillow.com/community/kenley/2062681453_zpid/,06-23-2022_21:45:40,2062681453
2323 Winthorp Ridge Rd,Charlotte,NC,28270,"$475,000",4,3,"2,052",35.076347,-80.731064,Coming soon,https://www.zillow.com/homedetails/2323-Winthorp-Ridge-Rd-Charlotte-NC-28270/54500514_zpid/,06-23-2022_21:45:40,54500514
3112 Foxridge Rd,Charlotte,NC,28226,"$1,545,000",5,4,"4,138",35.11717,-80.81715,House for sale,https://www.zillow.com/homedetails/3112-Foxridge-Rd-Charlotte-NC-28226/6298787_zpid/,06-23-2022_21:45:40,6298787
7621 Winterset Dr,Charlotte,NC,28270,"$399,900",3,2,"1,412",35.146465,-80.75235,House for sale,https://www.zillow.com/homedetails/7621-Winterset-Dr-Charlotte-NC-28270/6302179_zpid/,06-23-2022_21:45:40,6302179
638 E Woodlawn Rd #5,Charlotte,NC,28209,"$599,999",4,4,"2,122",35.1742,-80.87018,New construction,https://www.zillow.com/homedetails/638-E-Woodlawn-Rd-5-Charlotte-NC-28209/2062686469_zpid/,06-23-2022_21:45:40,2062686469
7366 Winery Ln,Charlotte,NC,28227,"$185,000",2,2,"1,130",35.20245,-80.71912,Condo for sale,https://www.zillow.com/homedetails/7366-Winery-Ln-Charlotte-NC-28227/6211397_zpid/,06-23-2022_21:45:40,6211397
756 Peachtree Rd,Charlotte,NC,28216,"$290,000",2,2,"1,364",35.294384,-80.88751,House for sale,https://www.zillow.com/homedetails/756-Peachtree-Rd-Charlotte-NC-28216/6156057_zpid/,06-23-2022_21:45:40,6156057
2538 Arnold Dr,Charlotte,NC,28205,"$599,000",3,2,"1,943",35.22259,-80.78201,Coming soon,https://www.zillow.com/homedetails/2538-Arnold-Dr-Charlotte-NC-28205/6196249_zpid/,06-23-2022_21:45:40,6196249
15031 Lisha Ln,Charlotte,NC,28277,"$898,000",4,5,"4,475",35.03157,-80.83382,House for sale,https://www.zillow.com/homedetails/15031-Lisha-Ln-Charlotte-NC-28277/65030305_zpid/,06-23-2022_21:45:40,65030305
Available Soon Plan,,,,$0,-,-,--,35.22511,-81.00185,New construction,https://www.zillow.com/community/vineyards-of-lake-wylie/2063403214_zpid/,06-23-2022_21:45:40,2063403214
3601 Sulkirk Rd,Charlotte,NC,28210,"$674,500",4,3,"2,033",35.13957,-80.846725,Coming soon,https://www.zillow.com/homedetails/3601-Sulkirk-Rd-Charlotte-NC-28210/6265809_zpid/,06-23-2022_21:45:40,6265809
9252 Meadowmont View Dr,Charlotte,NC,28269,"$300,000",2,2,"1,245",35.38806,-80.76656,House for sale,https://www.zillow.com/homedetails/9252-Meadowmont-View-Dr-Charlotte-NC-28269/65005089_zpid/,06-23-2022_21:45:40,65005089
10915 Kinnairds St,Charlotte,NC,28278,"$475,500",3,3,"2,571",35.164154,-80.99487,Coming soon,https://www.zillow.com/homedetails/10915-Kinnairds-St-Charlotte-NC-28278/69573096_zpid/,06-23-2022_21:45:40,69573096
7018 Alanbrook Rd,Charlotte,NC,28215,"$377,900",3,3,"1,382",35.23824,-80.71005,Coming soon,https://www.zillow.com/homedetails/7018-Alanbrook-Rd-Charlotte-NC-28215/6209009_zpid/,06-23-2022_21:45:40,6209009
4611 Deer Cross Trl,Charlotte,NC,28269,"$475,000",3,3,"2,564",35.344994,-80.807625,Coming soon,https://www.zillow.com/homedetails/4611-Deer-Cross-Trl-Charlotte-NC-28269/2075470759_zpid/,06-23-2022_21:45:40,2075470759
6708 Pennyroyal Way,Charlotte,NC,28216,"$365,900",3,2,"1,559",,,House for sale,https://www.zillow.com/homedetails/6708-Pennyroyal-Way-Charlotte-NC-28216/2078541868_zpid/,06-23-2022_21:45:40,2078541868
12465 Copper Mountain Blvd,Charlotte,NC,28277,"$320,000",3,2,"1,454",35.02826,-80.85689,Condo for sale,https://www.zillow.com/homedetails/12465-Copper-Mountain-Blvd-Charlotte-NC-28277/65051074_zpid/,06-23-2022_21:45:40,65051074
613 Raphael Pl,Charlotte,NC,28205,"$310,000",2,2,"1,010",35.249107,-80.79705,Coming soon,https://www.zillow.com/homedetails/613-Raphael-Pl-Charlotte-NC-28205/80467571_zpid/,06-23-2022_21:45:40,80467571
2901 Hillsdale Ave,Charlotte,NC,28209,"$895,000",3,2,"1,948",35.17364,-80.84122,House for sale,https://www.zillow.com/homedetails/2901-Hillsdale-Ave-Charlotte-NC-28209/6264420_zpid/,06-23-2022_21:45:40,6264420
6218 Cory Bret Ln,Charlotte,NC,28278,"$675,000",4,4,"2,570",35.161057,-80.9768,House for sale,https://www.zillow.com/homedetails/6218-Cory-Bret-Ln-Charlotte-NC-28278/2081530387_zpid/,06-23-2022_21:45:40,2081530387
7716 Ellencroft Ln,Charlotte,NC,28215,"$540,000",3,3,"2,243",35.23044,-80.70135,Coming soon,https://www.zillow.com/homedetails/7716-Ellencroft-Ln-Charlotte-NC-28215/6208902_zpid/,06-23-2022_21:45:40,6208902
9541M Shannon Green Dr #M,Charlotte,NC,28213,"$170,000",2,2,843,,,Condo for sale,https://www.zillow.com/homedetails/9541M-Shannon-Green-Dr-M-Charlotte-NC-28213/2062696189_zpid/,06-23-2022_21:45:40,2062696189
230 N Tryon St #1102,Charlotte,NC,28202,"$369,900",1,1,887,,,Condo for sale,https://www.zillow.com/homedetails/230-N-Tryon-St-1102-Charlotte-NC-28202/2066952076_zpid/,06-23-2022_21:45:40,2066952076
2222 Selwyn Ave,Charlotte,NC,28207,"$455,000",3,2,"1,625",35.183804,-80.83632,Condo for sale,https://www.zillow.com/homedetails/2222-Selwyn-Ave-Charlotte-NC-28207/6244824_zpid/,06-23-2022_21:45:40,6244824
2308 Lanier Ave,Charlotte,NC,28205,"$450,000",3,2,"1,692",35.194862,-80.77023,House for sale,https://www.zillow.com/homedetails/2308-Lanier-Ave-Charlotte-NC-28205/6250282_zpid/,06-23-2022_21:45:40,6250282
2843 Cowles Rd,Charlotte,NC,28208,"$357,000",2,2,"1,023",35.212097,-80.88498,Coming soon,https://www.zillow.com/homedetails/2843-Cowles-Rd-Charlotte-NC-28208/6238567_zpid/,06-23-2022_21:45:40,6238567
10817 Honey Bee Cir,Charlotte,NC,28226,"$375,000",3,2,"1,517",35.07892,-80.85767,Coming soon,https://www.zillow.com/homedetails/10817-Honey-Bee-Cir-Charlotte-NC-28226/2075571969_zpid/,06-23-2022_21:45:40,2075571969
2133 Whispering Way,Charlotte,NC,28212,"$290,000",3,3,"1,517",35.164536,-80.74669,Coming soon,https://www.zillow.com/homedetails/2133-Whispering-Way-Charlotte-NC-28212/63813909_zpid/,06-23-2022_21:45:40,63813909
1320 Shannonhouse Dr,Charlotte,NC,28215,"$318,000",3,2,"1,222",35.24808,-80.76174,Coming soon,https://www.zillow.com/homedetails/1320-Shannonhouse-Dr-Charlotte-NC-28215/6199167_zpid/,06-23-2022_21:45:40,6199167
7551 Bluestar Ln,Charlotte,NC,28226,"$559,900",3,4,"3,137",35.103195,-80.77951,Coming soon,https://www.zillow.com/homedetails/7551-Bluestar-Ln-Charlotte-NC-28226/65048793_zpid/,06-23-2022_21:45:40,65048793
Plan 2 Plan,,,,"$527,490",3,4,"2,129",35.174015,-80.87064,New construction,https://www.zillow.com/community/six-twenty/2065577216_zpid/,06-23-2022_21:45:40,2065577216
3025 Depaul Ct,Charlotte,NC,28216,"$300,000",4,3,"1,952",35.259045,-80.86309,House for sale,https://www.zillow.com/homedetails/3025-Depaul-Ct-Charlotte-NC-28216/6180234_zpid/,06-23-2022_21:45:40,6180234
1031 Worcaster Pl,Charlotte,NC,28211,"$849,000",4,4,"3,432",35.17537,-80.779045,House for sale,https://www.zillow.com/homedetails/1031-Worcaster-Pl-Charlotte-NC-28211/6251298_zpid/,06-23-2022_21:45:40,6251298
300 W 5th St APT 546,Charlotte,NC,28202,"$260,000",,1,590,35.230392,-80.84439,Condo for sale,https://www.zillow.com/homedetails/300-W-5th-St-APT-546-Charlotte-NC-28202/69568662_zpid/,06-23-2022_21:45:40,69568662
6566 Paw Village Rd,Charlotte,NC,28214,"$340,000",3,3,"1,434",35.25755,-80.96408,House for sale,https://www.zillow.com/homedetails/6566-Paw-Village-Rd-Charlotte-NC-28214/299904486_zpid/,06-23-2022_21:45:40,299904486
